league_name,team_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Ligue 1,Angers SCO,D,D,L,L,L,L,W,W,L,L,L,L,L,L,L,L,L,L,L,L,L,D,D,L,L,L,L,L,D,W,L,L,L,L,L,D,P,P
Ligue 1,Stade Rennais FC 1901,L,D,W,L,W,D,W,D,W,W,W,W,W,D,W,L,W,L,W,L,W,L,L,W,W,L,D,W,L,L,W,L,W,L,W,W,P,P
Ligue 1,Olympique de Marseille,W,D,W,W,W,W,W,D,W,L,L,L,D,W,W,W,W,W,W,D,W,L,W,W,L,W,D,W,D,D,W,W,W,L,W,L,P,P
Ligue 1,FC Nantes,D,D,L,W,D,L,L,D,L,L,W,D,D,L,D,D,W,D,W,D,L,W,W,L,L,L,D,D,L,D,L,D,L,L,D,L,P,P
Ligue 1,AS Monaco FC,W,D,L,D,L,W,W,W,W,W,D,L,W,W,L,W,W,D,W,D,W,W,W,W,L,D,L,W,W,D,W,L,L,W,D,L,P,P
Ligue 1,Paris Saint-Germain FC,W,W,W,D,W,W,W,W,W,D,W,W,W,W,W,W,L,W,L,D,W,W,L,W,W,W,W,L,L,W,W,W,L,W,W,W,P,P
Ligue 1,ES Troyes AC,L,L,L,W,W,D,L,W,D,L,D,D,L,D,L,D,W,L,L,D,L,L,L,L,L,D,L,D,L,L,L,D,L,L,L,D,P,P
Ligue 1,Stade de Reims,L,L,D,D,W,D,L,L,D,D,D,W,D,W,D,W,D,W,D,D,W,D,W,D,W,W,W,L,W,D,L,L,L,W,L,D,P,P
Ligue 1,AJ Auxerre,L,D,W,W,L,L,L,L,D,L,D,L,W,D,L,L,L,L,L,L,L,D,D,W,W,D,D,L,W,W,W,D,L,D,L,L,P,P
Ligue 1,AC Ajaccio,L,D,L,L,L,L,L,W,L,W,D,L,L,W,D,W,L,L,L,L,W,L,L,L,W,L,L,L,L,L,L,D,L,D,L,L,P,P
Ligue 1,OGC Nice,D,D,L,L,W,L,W,L,L,W,D,D,W,W,D,D,L,W,D,W,W,W,W,D,W,D,D,D,D,L,L,L,W,W,L,D,P,P
Ligue 1,Stade Brestois 29,L,D,W,L,L,D,L,L,D,L,L,W,D,L,W,L,L,D,D,W,D,D,L,L,L,W,L,D,W,D,W,D,W,L,W,W,P,P
Ligue 1,FC Lorient,W,W,D,W,L,W,W,W,W,W,D,D,L,L,D,L,W,D,L,W,L,D,L,W,L,D,W,D,L,D,L,L,W,W,D,L,P,P
Premier League,Crystal Palace FC,L,D,W,L,D,D,D,L,L,W,D,W,L,W,W,L,L,W,L,L,D,L,D,D,D,L,L,L,W,W,W,D,L,W,L,W,D,P
Premier League,Fulham FC,D,D,W,L,W,L,W,W,L,L,D,W,W,D,L,L,W,W,W,L,L,D,W,W,D,L,L,L,L,L,W,W,L,L,W,W,D,P
Premier League,Tottenham Hotspur FC,W,D,W,W,D,W,L,W,L,W,W,L,L,W,L,W,D,L,W,L,W,W,L,W,W,L,W,D,D,W,L,L,D,L,W,L,L,P
Premier League,Newcastle United FC,W,D,D,D,L,D,W,D,W,W,D,W,W,W,W,W,W,D,D,W,D,D,D,L,W,L,W,W,W,W,L,W,W,W,L,D,D,P
Premier League,Leeds United FC,W,D,W,L,D,L,W,D,D,L,L,L,L,W,W,L,L,D,D,L,D,L,L,L,W,L,D,W,L,L,L,L,D,L,L,D,L,P
Premier League,AFC Bournemouth,W,L,L,L,D,W,L,D,D,W,D,L,L,L,L,W,L,L,L,L,D,L,D,W,L,L,W,L,W,W,W,L,W,W,L,L,L,P
Premier League,Everton FC,L,L,D,D,D,D,L,W,W,L,L,L,W,D,L,L,L,D,L,L,L,W,L,W,L,D,W,D,D,L,L,D,L,D,W,L,D,P
Premier League,Manchester United FC,L,L,W,W,W,W,D,D,L,W,D,W,D,W,L,W,W,W,W,W,L,W,W,W,W,L,D,L,L,W,W,D,W,L,W,W,P,P
Premier League,Leicester City FC,D,L,L,L,L,L,L,L,W,L,D,W,W,L,W,W,L,L,L,L,D,W,W,L,L,L,L,D,L,L,L,W,D,D,L,L,D,P
Premier League,West Ham United FC,L,L,L,W,D,L,L,L,W,W,D,L,W,L,L,L,L,L,D,L,W,D,D,L,W,L,D,L,W,W,D,W,L,L,W,L,W,P
Premier League,Aston Villa FC,L,W,L,L,L,D,W,W,D,D,L,L,W,L,W,W,L,W,D,W,W,L,L,L,W,W,D,W,W,W,W,D,W,L,L,W,D,P
Premier League,Wolverhampton Wanderers FC,L,D,L,D,D,W,L,L,L,L,W,L,L,D,L,L,W,L,D,W,L,W,W,L,D,W,L,L,D,W,W,L,W,L,W,L,D,P
Premier League,Southampton FC,L,D,W,L,W,L,L,L,L,L,D,W,D,L,L,L,L,L,L,W,L,L,L,W,L,W,D,D,L,L,L,D,L,L,L,L,L,P
Premier League,Manchester City FC,W,W,D,W,W,D,W,W,W,W,L,W,W,W,W,L,W,D,W,L,W,L,W,D,W,W,W,W,W,W,W,W,W,W,W,W,P,P
Premier League,Brighton & Hove Albion FC,W,D,W,W,L,W,W,W,D,L,L,D,L,W,W,L,W,L,W,W,D,W,D,L,L,W,D,W,D,L,W,L,W,L,W,W,P,P
Premier League,Arsenal FC,W,W,W,W,W,L,W,W,W,W,W,L,D,W,W,W,W,W,D,W,W,L,D,W,W,W,W,W,W,D,D,D,L,W,W,L,L,P
Premier League,Brentford FC,D,W,L,D,D,W,W,L,D,L,W,D,L,D,D,W,D,W,W,W,D,W,D,D,L,W,L,D,D,L,L,D,W,W,L,W,W,P
Premier League,Nottingham Forest FC,L,W,D,L,L,L,L,L,L,D,L,D,W,L,D,W,L,D,W,W,D,W,L,D,L,D,L,L,D,L,L,L,W,L,W,D,W,P
